,Date,Year,Month,Global Temperature Anomaly,Nino 1+2 SST,Nino 1+2 SST Anomaly,Nino 3 SST,Nino 3 SST Anomaly,Nino 3.4 SST,Nino 3.4 SST Anomaly,Nino 4 SST,Nino 4 SST Anomaly,   TNI,SOI,  OLR,   PNA, NOI,ENSO Precipitation Index,BEST,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),  ONI,RONI,Season (12-Month),ENSO Phase-Intensity
27,4/1/1952,1952,APR,0.03,24.44,-1.10,27.27,-0.31,27.80,-0.02,28.47,-0.16,-0.374,-0.4,,0.89,-1.652,,0.72,MA,0.437,,MAM,0.29,0.53,1952-1953,WE
28,5/1/1952,1952,MAY,-0.03,23.48,-0.93,26.64,-0.61,27.79,-0.14,28.67,-0.25,-0.568,1.2,,-0.79,0.535,,-0.52,AM,0.434,,AMJ,0.20,0.43,1952-1953,WE
29,6/1/1952,1952,JUN,-0.03,21.93,-1.20,25.70,-0.92,27.18,-0.54,28.49,-0.47,-0.719,1.2,,0.53,0.015,,-0.80,MJ,0.017,,MJJ,0.00,-0.02,1952-1953,WE
30,7/1/1952,1952,JUL,0.04,20.73,-1.23,24.82,-0.99,26.53,-0.76,28.12,-0.77,-0.702,0.8,,-1.57,-0.538,,-0.57,JJ,-0.303,,JJA,-0.08,-0.19,1952-1953,WE
31,8/1/1952,1952,AUG,0.05,19.89,-1.11,24.44,-0.68,26.30,-0.56,28.00,-0.79,-0.703,0.1,,0.77,1.034,,-0.14,JA,-0.251,,JAS,0.00,0.08,1952-1953,WE
32,9/1/1952,1952,SEP,0.07,19.37,-1.36,24.26,-0.64,26.36,-0.36,28.39,-0.37,-0.704,-0.4,,0.40,0.375,,-0.03,AS,0.004,,ASO,0.15,0.21,1952-1953,WE
33,10/1/1952,1952,OCT,0.00,20.37,-0.65,24.36,-0.62,26.26,-0.46,28.06,-0.70,-0.449,0.6,,1.05,0.623,,-0.05,SO,0.178,,SON,0.10,0.09,1952-1953,WE
34,11/1/1952,1952,NOV,-0.13,20.83,-0.82,24.07,-1.03,25.92,-0.78,28.16,-0.54,-0.566,0.0,,0.77,1.179,,-0.01,ON,-0.035,,OND,0.04,-0.26,1952-1953,WE
35,12/1/1952,1952,DEC,-0.02,22.31,-0.50,24.67,-0.56,26.21,-0.39,27.84,-0.69,-0.167,-2.0,,0.63,-2.297,,0.36,ND,-0.119,,NDJ,0.15,0.13,1952-1953,WE
36,1/1/1953,1953,JAN,0.07,24.13,-0.44,25.72,0.06,26.74,0.20,27.97,-0.34,-0.027,0.5,,0.18,1.742,,0.22,DJ,0.154,,DJF,0.40,0.73,1953-1954,WE
37,2/1/1953,1953,FEB,0.15,26.27,0.17,26.63,0.22,27.00,0.24,27.98,-0.22,0.150,-0.8,,1.04,7.614,,0.46,JF,0.403,,JFM,0.60,0.72,1953-1954,WE
38,3/1/1953,1953,MAR,0.11,27.22,0.74,27.52,0.31,27.57,0.29,28.03,-0.29,0.325,-0.3,,-0.44,2.595,,0.52,FM,0.590,,FMA,0.63,0.84,1953-1954,WE
